Make,Model,Year,Location,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage(KMPL),Engine(CC),Power(BHP),Seats,Price(Lakhs)
Honda,Amaze,2014,Mumbai,39000,Petrol,Automatic,First,15.0,1198.0,86.0,5.0,4.45
Honda,City,2017,Pune,42000,Diesel,Manual,First,25.0,1498.0,98.0,5.0,12.0
Tata,Indigo,2008,Chennai,73000,Petrol,Manual,First,14.0,1396.0,65.0,5.0,0.8
Hyundai,Grand,2018,Chennai,48000,Diesel,Manual,First,24.0,1186.0,73.0,5.0,5.95
Hyundai,Verna,2014,Kolkata,19000,Petrol,Manual,First,17.0,1396.0,105.0,5.0,5.25
Toyota,Innova,2019,Coimbatore,33598,Diesel,Manual,First,13.0,2393.0,147.0,7.0,22.2
BMW,X1,2012,Jaipur,63000,Diesel,Automatic,First,17.0,1995.0,184.0,5.0,13.5
Volkswagen,Jetta,2015,Chennai,48000,Diesel,Automatic,First,16.0,1968.0,138.0,5.0,13.5
Ford,Figo,2014,Delhi,66000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,3.47
Mahindra,Ssangyong,2013,Ahmedabad,80000,Diesel,Automatic,Second,11.0,2696.0,184.0,7.0,9.5
Volkswagen,Vento,2011,Chennai,37000,Petrol,Manual,First,15.0,1598.0,103.0,5.0,4.8
Skoda,Rapid,2016,Kochi,35058,Petrol,Manual,First,15.0,1598.0,103.0,5.0,6.54
Volkswagen,Polo,2012,Delhi,52000,Petrol,Manual,First,16.0,1198.0,73.0,5.0,3.1
Maruti,S,2015,Hyderabad,61313,Diesel,Manual,First,23.0,1248.0,88.0,5.0,7.99
Toyota,Corolla,2009,Kolkata,45000,Petrol,Manual,Second,14.0,1798.0,138.0,5.0,3.3
Maruti,Ertiga,2015,Bangalore,74000,Diesel,Manual,First,20.0,1248.0,88.0,7.0,8.75
Hyundai,i10,2013,Hyderabad,89000,Petrol,Automatic,First,19.0,1197.0,80.0,5.0,4.19
Mercedes-Benz,CLA,2019,Kochi,13414,Diesel,Automatic,First,17.0,2143.0,136.0,5.0,30.77
Honda,City,2006,Jaipur,95000,Petrol,Manual,Second,16.0,1497.0,100.0,5.0,2.11
Mahindra,KUV,2018,Jaipur,15900,Petrol,Manual,First,18.0,1198.0,82.0,6.0,6.25
Honda,City,2011,Bangalore,65000,Petrol,Manual,First,17.0,1497.0,118.0,5.0,5.2
Audi,A6,2017,Coimbatore,36824,Diesel,Automatic,First,18.0,1968.0,187.0,5.0,39.84
Ford,Figo,2013,Coimbatore,65287,Diesel,Manual,First,20.0,1399.0,68.0,5.0,4.45
Mercedes-Benz,GLA,2014,Kolkata,52000,Diesel,Automatic,First,17.0,2143.0,136.0,5.0,19.5
Chevrolet,Aveo,2007,Hyderabad,33000,Petrol,Manual,First,15.0,1150.0,74.0,5.0,1.75
Ford,Figo,2016,Hyderabad,71000,Diesel,Manual,First,25.0,1498.0,99.0,5.0,5.1
Hyundai,Elantra,2013,Delhi,71000,Diesel,Automatic,First,22.0,1582.0,126.0,5.0,6.8
Maruti,Baleno,2016,Kolkata,20000,Petrol,Automatic,First,21.0,1197.0,83.0,5.0,5.74
Maruti,Swift,2010,Hyderabad,71000,Petrol,Manual,First,16.0,1197.0,85.0,5.0,3.3
BMW,3,2016,Ahmedabad,27000,Diesel,Automatic,First,21.0,1995.0,190.0,5.0,35.0
Hyundai,Verna,2011,Mumbai,58000,Petrol,Manual,Second,17.0,1591.0,121.0,5.0,4.0
Jeep,Compass,2018,Kochi,42203,Diesel,Manual,First,17.0,1956.0,170.0,5.0,19.46
Hyundai,Sonata,2009,Hyderabad,94000,Diesel,Automatic,First,11.0,1991.0,142.0,5.0,5.25
Maruti,Eeco,2013,Delhi,52000,CNG,Manual,Second,15.0,1196.0,73.0,5.0,2.6
Tata,Nexon,2018,Kolkata,4900,Diesel,Manual,First,21.0,1497.0,108.0,5.0,9.22
Hyundai,EON,2013,Jaipur,70000,Petrol,Manual,First,21.0,814.0,55.0,5.0,1.8
Tata,Indica,2005,Hyderabad,100000,Diesel,Manual,Second,13.0,1405.0,97.0,5.0,1.3
Maruti,Ertiga,2014,Delhi,54569,Diesel,Manual,First,20.0,1248.0,88.0,7.0,5.99
Honda,Amaze,2015,Kochi,51361,Petrol,Manual,First,18.0,1198.0,86.0,5.0,4.94
Ford,Fiesta,2007,Jaipur,125000,Petrol,Manual,Third,16.0,1388.0,68.0,5.0,1.5
Honda,Civic,2008,Bangalore,66000,Petrol,Manual,Third,13.0,1799.0,130.0,5.0,3.25
Maruti,Wagon,2007,Hyderabad,65047,LPG,Manual,First,17.0,1061.0,57.0,5.0,1.95
Maruti,Ertiga,2014,Delhi,22281,Diesel,Manual,First,20.0,1248.0,88.0,7.0,6.5
Hyundai,Grand,2013,Delhi,63210,Diesel,Manual,First,24.0,1120.0,70.0,5.0,3.71
Hyundai,Xcent,2018,Pune,31000,Petrol,Manual,First,20.0,1197.0,81.0,5.0,5.0
Hyundai,i10,2008,Ahmedabad,60000,Petrol,Manual,First,19.0,1086.0,68.0,5.0,1.99
Honda,Amaze,2017,Mumbai,32006,Petrol,Manual,First,18.0,1198.0,86.0,5.0,4.25
Audi,A6,2009,Ahmedabad,78000,Diesel,Automatic,First,12.0,2698.0,179.0,5.0,8.0
Hyundai,i10,2011,Mumbai,9489,Petrol,Manual,First,20.0,1197.0,78.0,5.0,2.95
Renault,KWID,2018,Pune,5000,Petrol,Manual,First,25.0,799.0,53.0,5.0,3.5
Audi,A4,2012,Jaipur,60000,Diesel,Automatic,Second,15.0,1968.0,140.0,5.0,16.0
Maruti,Alto,2015,Jaipur,50000,Petrol,Manual,First,22.0,796.0,47.0,5.0,2.75
Honda,City,2015,Delhi,53000,Petrol,Manual,First,17.0,1497.0,117.0,5.0,6.95
Mercedes-Benz,New,2011,Delhi,64000,Petrol,Automatic,Second,11.0,1796.0,186.0,5.0,12.5
Volkswagen,Polo,2011,Pune,36431,Petrol,Manual,First,16.0,1199.0,74.0,5.0,2.7
Hyundai,Creta,2017,Mumbai,35000,Diesel,Manual,First,21.0,1396.0,88.0,5.0,9.9
Honda,City,2011,Kochi,94832,Petrol,Manual,First,17.0,1497.0,118.0,5.0,3.83
Honda,City,2012,Coimbatore,88381,Petrol,Manual,First,17.0,1497.0,118.0,5.0,5.25
Maruti,S,2016,Kolkata,45194,Diesel,Manual,First,22.0,1598.0,118.0,5.0,7.75
Maruti,SX4,2010,Mumbai,66000,Petrol,Manual,Second,16.0,1586.0,103.0,5.0,2.46
Maruti,Swift,2014,Kolkata,38578,Diesel,Manual,First,23.0,1248.0,74.0,5.0,3.96
Maruti,Ertiga,2015,Chennai,40000,Diesel,Manual,First,20.0,1248.0,88.0,7.0,8.25
Hyundai,i20,2018,Coimbatore,20632,Petrol,Manual,First,18.0,1197.0,81.0,5.0,7.58
Hyundai,Grand,2014,Hyderabad,73042,Diesel,Manual,First,24.0,1120.0,70.0,5.0,3.99
Honda,City,2014,Delhi,54257,Petrol,Manual,First,17.0,1497.0,117.0,5.0,6.25
Skoda,Rapid,2013,Hyderabad,93000,Diesel,Manual,First,20.0,1598.0,103.0,5.0,5.0
Hyundai,Santa,2016,Coimbatore,28881,Diesel,Automatic,First,13.0,2199.0,194.0,7.0,21.37
Maruti,Alto,2007,Hyderabad,52195,Petrol,Manual,First,19.0,796.0,46.0,5.0,1.75
ISUZU,D-MAX,2018,Coimbatore,20422,Diesel,Manual,First,12.0,2499.0,134.0,5.0,16.09
Hyundai,Verna,2012,Kolkata,38000,Diesel,Manual,First,24.0,1396.0,88.0,5.0,4.1
Ford,Figo,2015,Coimbatore,92885,Diesel,Manual,First,20.0,1399.0,68.0,5.0,3.56
Honda,City,2010,Pune,43000,Petrol,Manual,Second,17.0,1497.0,118.0,5.0,4.21
Maruti,Swift,2016,Coimbatore,70478,Diesel,Manual,First,17.0,1248.0,97.0,5.0,6.86
Hyundai,Verna,2015,Delhi,57000,Diesel,Manual,First,23.0,1582.0,126.0,5.0,6.6
Hyundai,Creta,2018,Coimbatore,32434,Petrol,Automatic,First,13.0,1591.0,121.0,5.0,14.35
Ford,Ecosport,2017,Hyderabad,32000,Diesel,Manual,First,22.0,1498.0,89.0,5.0,9.5
BMW,5,2016,Coimbatore,76467,Diesel,Automatic,First,18.0,1995.0,190.0,5.0,30.45
Ford,Figo,2016,Hyderabad,100000,Diesel,Manual,First,25.0,1498.0,99.0,5.0,5.1
Hyundai,Verna,2013,Pune,37086,Petrol,Automatic,First,17.0,1591.0,121.0,5.0,5.44
Audi,A6,2014,Kochi,54862,Diesel,Automatic,First,17.0,1968.0,174.0,5.0,16.67
Honda,CR-V,2010,Hyderabad,67758,Petrol,Manual,First,10.0,2354.0,97.0,5.0,9.5
Hyundai,i20,2012,Pune,56200,Petrol,Automatic,First,15.0,1396.0,98.0,5.0,3.85
Renault,KWID,2016,Bangalore,20229,Petrol,Manual,First,25.0,799.0,53.0,5.0,3.5
Chevrolet,Spark,2008,Chennai,62000,Petrol,Manual,Third,18.0,995.0,62.0,5.0,1.1
Hyundai,Verna,2011,Hyderabad,51500,Petrol,Manual,Second,16.0,1599.0,103.0,5.0,2.6
BMW,3,2012,Hyderabad,69000,Diesel,Automatic,First,18.0,1995.0,184.0,5.0,18.5
Maruti,Swift,2015,Hyderabad,62476,Diesel,Manual,First,26.0,1248.0,74.0,5.0,7.95
Hyundai,Xcent,2017,Jaipur,60500,Diesel,Manual,First,25.0,1186.0,73.0,5.0,5.49
Honda,Jazz,2017,Mumbai,17978,Petrol,Automatic,First,19.0,1199.0,88.0,5.0,6.95
Ford,Fiesta,2013,Chennai,123000,Diesel,Manual,Second,17.0,1399.0,67.0,5.0,4.45
Maruti,S-Cross,2016,Kolkata,45296,Diesel,Manual,First,25.0,1248.0,88.0,5.0,6.99
Maruti,SX4,2008,Coimbatore,77325,Petrol,Manual,First,15.0,1586.0,104.0,5.0,3.51
Maruti,Baleno,2018,Kochi,25858,Petrol,Automatic,First,21.0,1197.0,83.0,5.0,7.54
Maruti,Ritz,2016,Bangalore,120000,Diesel,Manual,First,23.0,1248.0,73.0,5.0,3.65
Hyundai,Elantra,2016,Ahmedabad,22000,Diesel,Automatic,First,19.0,1582.0,126.0,5.0,16.0
Chevrolet,Spark,2012,Kolkata,11000,Petrol,Manual,First,16.0,995.0,62.0,5.0,1.4
Hyundai,i20,2017,Mumbai,3900,Petrol,Manual,First,18.0,1197.0,81.0,5.0,6.45
Hyundai,Xcent,2016,Hyderabad,106092,Diesel,Manual,First,24.0,1120.0,71.0,5.0,4.4
Honda,Jazz,2015,Delhi,27000,Petrol,Automatic,First,19.0,1199.0,88.0,5.0,5.95
Honda,Brio,2013,Ahmedabad,11000,Petrol,Manual,First,19.0,1198.0,86.0,5.0,3.9
Mercedes-Benz,E-Class,2016,Coimbatore,39753,Diesel,Automatic,First,13.0,2143.0,201.0,5.0,35.28
Tata,Hexa,2017,Pune,39800,Diesel,Manual,First,17.0,2179.0,153.0,7.0,14.25
Hyundai,Xcent,2017,Pune,73000,Diesel,Manual,First,24.0,1120.0,71.0,5.0,4.5
Ford,Ecosport,2015,Pune,55000,Diesel,Manual,First,22.0,1498.0,89.0,5.0,7.5
Tata,Nano,2017,Coimbatore,18351,Petrol,Automatic,First,21.0,624.0,37.0,4.0,3.41
Honda,Brio,2013,Pune,45000,Petrol,Manual,Second,19.0,1198.0,86.0,5.0,3.25
Maruti,Ertiga,2016,Hyderabad,112200,Diesel,Manual,First,24.0,1248.0,88.0,7.0,8.3
Hyundai,i10,2010,Bangalore,29000,Petrol,Manual,First,20.0,1197.0,78.0,5.0,3.45
Hyundai,Santro,2007,Hyderabad,57309,Petrol,Manual,First,17.0,1086.0,97.0,5.0,2.1
Mahindra,XUV500,2015,Mumbai,53392,Diesel,Manual,First,16.0,2179.0,140.0,7.0,11.95
Volkswagen,Vento,2010,Hyderabad,71000,Diesel,Manual,First,20.0,1598.0,103.0,5.0,4.25
Tata,Safari,2014,Hyderabad,93000,Diesel,Manual,First,14.0,2179.0,138.0,7.0,8.25
Honda,Accord,2010,Hyderabad,119000,Petrol,Manual,First,10.0,2354.0,180.0,5.0,5.95
Maruti,Eeco,2016,Coimbatore,42225,Petrol,Manual,First,15.0,1196.0,73.0,7.0,4.3
Maruti,Swift,2012,Ahmedabad,65000,Diesel,Manual,First,22.0,1248.0,74.0,5.0,3.9
Maruti,Baleno,2016,Pune,27809,Petrol,Automatic,First,21.0,1197.0,83.0,5.0,6.41
Mahindra,XUV500,2015,Coimbatore,65100,Diesel,Manual,First,15.0,2179.0,140.0,7.0,8.36
Hyundai,Xcent,2014,Chennai,51000,Petrol,Manual,First,19.0,1197.0,82.0,5.0,3.85
Mercedes-Benz,New,2017,Hyderabad,10000,Diesel,Automatic,First,19.0,2143.0,167.0,5.0,36.0
Skoda,Superb,2011,Kolkata,54895,Petrol,Manual,First,13.0,1798.0,160.0,5.0,7.5
Volkswagen,CrossPolo,2015,Hyderabad,80768,Diesel,Manual,First,20.0,1498.0,88.0,5.0,5.7
Maruti,Ignis,2019,Kochi,12076,Petrol,Manual,First,20.0,1197.0,81.0,5.0,5.5
Maruti,Swift,2016,Chennai,49000,Diesel,Manual,First,25.0,1248.0,74.0,5.0,5.9
Honda,City,2015,Mumbai,42366,Petrol,Manual,First,17.0,1497.0,117.0,5.0,7.75
Skoda,Laura,2008,Hyderabad,122397,Diesel,Manual,First,17.0,1896.0,106.0,5.0,4.4
Volkswagen,Polo,2017,Coimbatore,50534,Petrol,Automatic,First,17.0,1197.0,103.0,5.0,8.27
Renault,Duster,2014,Ahmedabad,55300,Diesel,Manual,First,19.0,1461.0,83.0,5.0,4.75
Honda,City,2008,Hyderabad,73095,Petrol,Automatic,First,16.0,1497.0,118.0,5.0,3.8
Volkswagen,Vento,2011,Ahmedabad,51100,Diesel,Manual,First,20.0,1598.0,103.0,5.0,3.4
Hyundai,Grand,2016,Pune,13436,Petrol,Manual,Second,18.0,1197.0,82.0,5.0,4.7
Ford,Fiesta,2008,Pune,76000,Petrol,Manual,Second,16.0,1388.0,68.0,5.0,1.49
Hyundai,Xcent,2016,Mumbai,63141,Diesel,Manual,Second,24.0,1120.0,71.0,5.0,4.5
Honda,Amaze,2014,Hyderabad,74885,Diesel,Manual,First,25.0,1498.0,98.0,5.0,5.4
Honda,City,2016,Hyderabad,14000,Petrol,Automatic,First,18.0,1497.0,117.0,5.0,11.5
Renault,Fluence,2012,Pune,56000,Diesel,Manual,Second,20.0,1461.0,108.0,5.0,3.5
BMW,5,2010,Ahmedabad,46000,Diesel,Automatic,First,22.0,1995.0,190.0,5.0,16.5
Maruti,SX4,2012,Mumbai,51800,Petrol,Manual,First,15.0,1586.0,103.0,5.0,3.9
Honda,City,2007,Hyderabad,81000,Petrol,Automatic,First,16.0,1497.0,78.0,5.0,3.25
Volkswagen,Ameo,2018,Kochi,17370,Petrol,Manual,First,17.0,1198.0,73.0,5.0,5.84
Volkswagen,Ameo,2016,Hyderabad,18456,Petrol,Manual,First,17.0,1198.0,73.0,5.0,5.75
Audi,A4,2010,Delhi,59000,Diesel,Automatic,First,16.0,1968.0,140.0,5.0,10.0
Hyundai,Verna,2013,Delhi,51000,Diesel,Automatic,First,19.0,1582.0,126.0,5.0,5.64
Mercedes-Benz,GLC,2019,Coimbatore,29311,Diesel,Automatic,First,17.0,2143.0,170.0,5.0,50.97
BMW,3,2016,Mumbai,31000,Diesel,Automatic,First,21.0,1995.0,190.0,5.0,29.95
Honda,Mobilio,2014,Mumbai,80000,Diesel,Manual,Second,24.0,1498.0,98.0,7.0,4.85
Hyundai,Creta,2016,Hyderabad,33000,Diesel,Automatic,First,17.0,1582.0,126.0,5.0,14.5
Honda,City,2011,Hyderabad,71556,Petrol,Manual,First,17.0,1497.0,118.0,5.0,5.5
Ford,Fiesta,2011,Bangalore,85000,Diesel,Manual,First,17.0,1399.0,68.0,5.0,3.2
Maruti,Swift,2016,Chennai,91000,Diesel,Manual,First,26.0,1248.0,74.0,5.0,4.5
Mercedes-Benz,E-Class,2015,Coimbatore,73187,Diesel,Automatic,First,13.0,2143.0,204.0,5.0,30.72
Toyota,Innova,2007,Bangalore,127079,Diesel,Manual,First,12.0,2494.0,102.0,7.0,6.99
Mahindra,Quanto,2014,Kochi,58816,Diesel,Manual,First,17.0,1493.0,100.0,7.0,3.45
Honda,City,2015,Kochi,63818,Petrol,Manual,First,17.0,1497.0,117.0,5.0,6.57
Audi,A4,2014,Kolkata,40000,Diesel,Automatic,First,17.0,1968.0,174.0,5.0,17.5
Volkswagen,Polo,2013,Delhi,77445,Diesel,Manual,First,22.0,1199.0,73.0,5.0,3.75
Ford,EcoSport,2017,Pune,14000,Petrol,Automatic,First,14.0,1497.0,121.0,5.0,9.99
Toyota,Innova,2012,Kolkata,85122,Diesel,Manual,First,12.0,2494.0,100.0,7.0,8.2
Honda,City,2005,Jaipur,123000,Petrol,Manual,Third,13.0,1493.0,100.0,5.0,1.1
Maruti,SX4,2015,Kochi,61000,CNG,Manual,First,22.0,1586.0,85.0,5.0,3.89
Maruti,Alto,2015,Chennai,63714,Petrol,Manual,First,24.0,796.0,47.0,5.0,2.45
Maruti,Swift,2017,Kolkata,60000,Diesel,Manual,First,26.0,1248.0,74.0,5.0,3.0
Maruti,Vitara,2017,Ahmedabad,33000,Diesel,Manual,First,24.0,1248.0,88.0,5.0,9.25
Volvo,S60,2013,Mumbai,31000,Diesel,Automatic,First,13.0,2400.0,215.0,5.0,17.65
Hyundai,i20,2013,Kochi,67914,Diesel,Manual,First,23.0,1396.0,90.0,5.0,3.45
Audi,A4,2015,Bangalore,58970,Diesel,Automatic,First,17.0,1968.0,174.0,5.0,23.75
Nissan,Terrano,2013,Mumbai,60000,Diesel,Manual,Second,19.0,1461.0,108.0,5.0,5.45
Maruti,Celerio,2017,Coimbatore,35225,Petrol,Automatic,First,23.0,998.0,67.0,5.0,5.25
Maruti,Esteem,2005,Delhi,69496,Petrol,Manual,First,15.0,1298.0,97.0,5.0,1.1
Hyundai,i10,2012,Delhi,62282,Petrol,Automatic,First,16.0,1197.0,78.0,5.0,2.9
BMW,3,2010,Hyderabad,80000,Diesel,Automatic,First,22.0,1995.0,190.0,5.0,14.2
Hyundai,Grand,2018,Kochi,43698,Petrol,Manual,First,18.0,1197.0,82.0,5.0,5.8
Hyundai,Grand,2017,Coimbatore,28052,Petrol,Automatic,First,18.0,1197.0,82.0,5.0,7.22
Hyundai,Grand,2016,Coimbatore,29091,Petrol,Manual,First,18.0,1197.0,81.0,5.0,4.87
Volkswagen,Polo,2013,Delhi,63000,Petrol,Manual,First,16.0,1198.0,74.0,5.0,3.3
Honda,City,2007,Hyderabad,91000,Petrol,Manual,Second,17.0,1497.0,78.0,5.0,3.0
Mercedes-Benz,GLA,2014,Hyderabad,30000,Diesel,Automatic,First,17.0,2143.0,136.0,5.0,26.0
Maruti,Omni,2017,Hyderabad,24571,Petrol,Manual,First,14.0,796.0,35.0,5.0,2.9
Hyundai,Verna,2014,Bangalore,45000,Petrol,Automatic,First,15.0,1591.0,121.0,5.0,7.5
Maruti,Alto,2015,Hyderabad,24617,Petrol,Manual,First,22.0,796.0,47.0,5.0,2.36
Maruti,Vitara,2017,Coimbatore,26927,Diesel,Manual,First,24.0,1248.0,88.0,5.0,11.39
Mahindra,XUV500,2013,Kochi,87736,Diesel,Manual,First,15.0,2179.0,140.0,7.0,7.02
Maruti,Vitara,2016,Delhi,35299,Diesel,Manual,First,24.0,1248.0,88.0,5.0,8.0
Hyundai,i20,2017,Kochi,51612,Petrol,Manual,First,18.0,1197.0,81.0,5.0,7.11
Mercedes-Benz,E-Class,1998,Mumbai,55300,Diesel,Automatic,First,10.0,1796.0,157.0,5.0,3.9
Maruti,Alto,2009,Hyderabad,65090,Petrol,Manual,First,19.0,796.0,46.0,5.0,2.15
Honda,Amaze,2013,Kolkata,40000,Petrol,Manual,First,18.0,1198.0,86.0,5.0,3.25
Hyundai,Grand,2013,Mumbai,71904,Diesel,Manual,First,24.0,1120.0,70.0,5.0,4.61
Honda,Civic,2008,Mumbai,87000,Petrol,Manual,First,13.0,1799.0,130.0,5.0,2.35
Hyundai,Grand,2014,Chennai,33000,Diesel,Manual,Second,24.0,1120.0,70.0,5.0,4.05
Maruti,800,2009,Jaipur,22100,Petrol,Manual,Second,16.0,796.0,37.0,4.0,0.8
Toyota,Etios,2014,Hyderabad,59589,Diesel,Manual,First,23.0,1364.0,67.0,5.0,5.6
Hyundai,i20,2015,Delhi,44000,Diesel,Manual,First,22.0,1396.0,88.0,5.0,5.35
Maruti,Alto,2017,Mumbai,12000,Petrol,Manual,First,24.0,998.0,67.0,5.0,3.25
BMW,X1,2012,Pune,66000,Diesel,Automatic,Second,17.0,1995.0,184.0,5.0,11.5
Maruti,Celerio,2016,Pune,38009,Petrol,Automatic,First,23.0,998.0,67.0,5.0,4.25
Skoda,Superb,2009,Mumbai,35000,Petrol,Automatic,Second,13.0,1798.0,157.0,5.0,4.45
Mahindra,Xylo,2009,Pune,70000,Diesel,Manual,First,14.0,2498.0,112.0,7.0,2.85
Mahindra,XUV500,2014,Delhi,86000,Diesel,Manual,First,15.0,2179.0,140.0,7.0,7.85
Maruti,Swift,2016,Pune,32000,Petrol,Manual,First,19.0,1197.0,85.0,5.0,5.3
Ford,Ecosport,2017,Mumbai,15000,Petrol,Manual,First,18.0,999.0,123.0,5.0,8.0
Toyota,Corolla,2014,Coimbatore,69918,Diesel,Manual,First,21.0,1364.0,87.0,5.0,9.43
Hyundai,i20,2012,Pune,39000,Petrol,Manual,First,18.0,1197.0,80.0,5.0,2.75
Renault,Captur,2018,Mumbai,1011,Diesel,Manual,First,20.0,1461.0,108.0,5.0,13.5
Maruti,Baleno,2017,Chennai,46663,Petrol,Manual,First,21.0,998.0,100.0,5.0,6.95
Nissan,Sunny,2015,Chennai,27000,Petrol,Automatic,First,17.0,1498.0,99.0,5.0,6.75
Hyundai,Grand,2015,Chennai,15000,Petrol,Automatic,First,18.0,1197.0,82.0,5.0,5.5
Maruti,Ciaz,2018,Kochi,10575,Petrol,Manual,First,21.0,1462.0,103.0,5.0,9.18
Hyundai,Xcent,2014,Jaipur,12500,Petrol,Manual,First,19.0,1197.0,82.0,5.0,4.15
Hyundai,Verna,2012,Ahmedabad,52000,Diesel,Manual,First,22.0,1582.0,126.0,5.0,6.5
Maruti,Wagon,2015,Kochi,49818,Petrol,Manual,First,21.0,1197.0,81.0,5.0,4.11
Hyundai,Verna,2008,Hyderabad,90000,Diesel,Manual,Second,16.0,1493.0,110.0,5.0,2.25
Toyota,Etios,2015,Kochi,52207,Petrol,Manual,First,17.0,1197.0,78.0,5.0,4.56
Toyota,Etios,2015,Coimbatore,49894,Diesel,Manual,First,23.0,1364.0,67.0,5.0,5.27
Mahindra,Thar,2019,Kochi,13024,Diesel,Manual,First,18.0,2523.0,63.0,7.0,9.11
Nissan,X-Trail,2010,Pune,128000,Diesel,Manual,Second,14.0,1995.0,147.0,5.0,6.2
Toyota,Innova,2017,Kochi,26023,Diesel,Automatic,First,11.0,2755.0,171.0,7.0,19.97
Hyundai,Creta,2016,Delhi,42784,Diesel,Manual,First,21.0,1396.0,88.0,5.0,10.17
Hyundai,Verna,2019,Kochi,30529,Diesel,Manual,First,23.0,1582.0,126.0,5.0,14.28
Maruti,Alto,2012,Kochi,14814,Petrol,Manual,Second,19.0,796.0,46.0,5.0,2.47
Maruti,S,2016,Ahmedabad,58000,Diesel,Manual,First,23.0,1248.0,88.0,5.0,7.9
Hyundai,EON,2011,Hyderabad,68128,Petrol,Manual,First,21.0,814.0,55.0,5.0,2.3
Nissan,Terrano,2013,Hyderabad,63220,Petrol,Manual,First,13.0,1598.0,102.0,5.0,6.5
Hyundai,EON,2016,Hyderabad,30000,Petrol,Manual,First,21.0,814.0,55.0,5.0,3.25
Tata,Zest,2017,Bangalore,27768,Diesel,Manual,First,20.0,1248.0,88.0,5.0,5.85
Mercedes-Benz,E-Class,2014,Hyderabad,53000,Diesel,Automatic,Second,14.0,2143.0,203.0,5.0,29.0
Audi,Q5,2014,Coimbatore,87652,Diesel,Automatic,Second,14.0,1968.0,174.0,5.0,25.71
Ford,Fiesta,2008,Chennai,94873,Petrol,Manual,Second,15.0,1596.0,101.0,5.0,1.85
BMW,3,2015,Mumbai,56000,Diesel,Automatic,First,18.0,1995.0,184.0,5.0,22.75
Maruti,Baleno,2018,Kochi,18678,Petrol,Manual,First,21.0,998.0,100.0,5.0,8.32
Mercedes-Benz,E-Class,2014,Delhi,30000,Diesel,Automatic,First,14.0,2143.0,203.0,5.0,26.0
Hyundai,i10,2013,Hyderabad,59000,Petrol,Manual,First,20.0,1197.0,78.0,5.0,3.45
Hyundai,Grand,2017,Mumbai,13000,Petrol,Manual,First,18.0,1197.0,82.0,5.0,5.15
Honda,Brio,2014,Kochi,74325,Petrol,Manual,First,19.0,1198.0,86.0,5.0,3.51
Hyundai,i20,2015,Kolkata,45000,Diesel,Manual,First,21.0,1396.0,88.0,5.0,3.45
Volkswagen,Polo,2013,Pune,57000,Petrol,Manual,First,16.0,1198.0,73.0,5.0,3.75
Honda,City,2001,Pune,125943,Petrol,Manual,Second,13.0,1493.0,100.0,5.0,1.45
Skoda,Octavia,2008,Delhi,80000,Diesel,Manual,First,18.0,1896.0,66.0,5.0,2.2
Chevrolet,Cruze,2013,Bangalore,62000,Diesel,Manual,Second,18.0,1991.0,147.0,5.0,6.75
Honda,CR-V,2013,Kolkata,27000,Petrol,Automatic,First,14.0,1493.0,97.0,5.0,11.99
Honda,Mobilio,2014,Kolkata,45000,Diesel,Manual,First,24.0,1498.0,98.0,7.0,5.0
Maruti,Ertiga,2012,Pune,105000,Diesel,Manual,Second,20.0,1248.0,88.0,7.0,5.9
Hyundai,Grand,2013,Mumbai,26000,Petrol,Manual,First,18.0,1197.0,82.0,5.0,3.75
Honda,Amaze,2014,Chennai,48000,Petrol,Manual,First,18.0,1198.0,86.0,5.0,4.75
Audi,A6,2011,Pune,112719,Diesel,Automatic,First,12.0,2698.0,179.0,5.0,11.5
Hyundai,i20,2017,Chennai,5000,Petrol,Manual,First,18.0,1197.0,81.0,5.0,6.95
Volkswagen,Ameo,2016,Mumbai,16000,Petrol,Manual,First,17.0,1198.0,73.0,5.0,5.4
Renault,Fluence,2011,Jaipur,63000,Petrol,Automatic,First,13.0,1997.0,135.0,5.0,4.75
Maruti,Alto,2011,Chennai,28300,Petrol,Manual,First,24.0,998.0,67.0,5.0,2.15
Maruti,Alto,2005,Jaipur,49000,Petrol,Manual,First,19.0,796.0,46.0,5.0,0.9
Maruti,Wagon,2016,Kolkata,12501,Petrol,Manual,First,20.0,998.0,67.0,5.0,3.5
Fiat,Linea,2016,Kochi,56628,Diesel,Manual,First,20.0,1248.0,92.0,5.0,5.85
Maruti,Swift,2010,Pune,105000,Diesel,Manual,First,19.0,1248.0,73.0,5.0,3.15
Renault,Scala,2016,Pune,52126,Diesel,Manual,First,21.0,1461.0,84.0,5.0,6.0
Hyundai,i20,2010,Kolkata,38000,Petrol,Manual,First,18.0,1197.0,80.0,5.0,2.23
Hyundai,Xcent,2016,Bangalore,50000,Petrol,Manual,First,19.0,1197.0,82.0,5.0,2.5
Maruti,Wagon,2015,Kochi,50230,Petrol,Manual,First,18.0,998.0,67.0,5.0,3.87
Mahindra,XUV500,2014,Ahmedabad,31000,Diesel,Manual,First,15.0,2179.0,140.0,7.0,9.5
Renault,Duster,2012,Delhi,130000,Diesel,Manual,First,19.0,1461.0,108.0,5.0,3.75
Hyundai,Santro,2010,Chennai,115000,Petrol,Manual,Second,17.0,1086.0,62.0,5.0,1.5
